FIPS*,County name,RUC code,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2019,Change 2010-19
6000,California,,"29,811,427","33,871,653","37,254,519","39,512,223",6.10%
6001,Alameda County,1,"1,304,347","1,443,705","1,510,258","1,671,329",10.70%
6003,Alpine County,8,"1,113","1,206","1,175","1,129",-3.90%
6005,Amador County,6,"30,039","35,101","38,091","39,752",4.40%
6007,Butte County,3,"182,120","203,125","220,005","219,186",-0.40%
6009,Calaveras County,6,"31,998","40,535","45,578","45,905",0.70%
6011,Colusa County,6,"16,275","18,799","21,407","21,547",0.70%
6013,Contra Costa County,1,"803,731","948,865","1,049,204","1,153,526",9.90%
6015,Del Norte County,7,"23,460","27,505","28,610","27,812",-2.80%
6017,El Dorado County,1,"125,995","156,314","181,058","192,843",6.50%
6019,Fresno County,2,"667,479","798,766","930,507","999,101",7.40%
6021,Glenn County,6,"24,798","26,432","28,122","28,393",1.00%
6023,Humboldt County,5,"119,118","126,508","134,611","135,558",0.70%
6025,Imperial County,3,"109,303","142,334","174,524","181,215",3.80%
6027,Inyo County,7,"18,281","17,955","18,542","18,039",-2.70%
6029,Kern County,2,"544,981","661,632","839,621","900,202",7.20%
6031,Kings County,3,"101,469","129,470","152,974","152,940",0.00%
6033,Lake County,4,"50,631","58,331","64,662","64,386",-0.40%
6035,Lassen County,7,"27,598","33,828","34,895","30,573",-12.40%
6037,Los Angeles County,1,"8,863,052","9,519,315","9,819,968","10,039,107",2.20%
6039,Madera County,3,"88,090","123,179","150,834","157,327",4.30%
6041,Marin County,1,"230,096","247,301","252,430","258,826",2.50%
6043,Mariposa County,8,"14,302","17,112","18,247","17,203",-5.70%
6045,Mendocino County,4,"80,345","86,253","87,850","86,749",-1.30%
6047,Merced County,2,"178,403","211,178","255,796","277,680",8.60%
6049,Modoc County,6,"9,678","9,431","9,682","8,841",-8.70%
6051,Mono County,7,"9,956","12,839","14,206","14,444",1.70%
6053,Monterey County,2,"355,660","401,752","415,059","434,061",4.60%
6055,Napa County,3,"110,765","124,344","136,535","137,744",0.90%
6057,Nevada County,4,"78,510","92,055","98,747","99,755",1.00%
6059,Orange County,1,"2,410,668","2,846,282","3,008,989","3,175,692",5.50%
6061,Placer County,1,"172,796","248,270","348,502","398,329",14.30%
6063,Plumas County,7,"19,739","20,817","20,007","18,807",-6.00%
6065,Riverside County,1,"1,170,413","1,545,320","2,189,765","2,470,546",12.80%
6067,Sacramento County,1,"1,066,789","1,223,578","1,418,735","1,552,058",9.40%
6069,San Benito County,1,"36,697","53,214","55,265","62,808",13.60%
6071,San Bernardino County,1,"1,418,380","1,709,479","2,035,183","2,180,085",7.10%
6073,San Diego County,1,"2,498,016","2,813,839","3,095,349","3,338,330",7.80%
6075,San Francisco County,1,"723,959","776,764","805,184","881,549",9.50%
6077,San Joaquin County,2,"480,628","563,660","685,306","762,148",11.20%
6079,San Luis Obispo County,2,"217,162","246,746","269,597","283,111",5.00%
6081,San Mateo County,1,"649,623","707,099","718,517","766,573",6.70%
6083,Santa Barbara County,2,"369,608","399,293","423,947","446,499",5.30%
6085,Santa Clara County,1,"1,497,577","1,682,781","1,781,686","1,927,852",8.20%
6087,Santa Cruz County,2,"229,734","255,614","262,350","273,213",4.10%
6089,Shasta County,3,"147,036","163,242","177,221","180,080",1.60%
6091,Sierra County,8,"3,318","3,559","3,239","3,005",-7.20%
6093,Siskiyou County,6,"43,531","44,305","44,900","43,539",-3.00%
6095,Solano County,2,"339,469","394,495","413,343","447,643",8.30%
6097,Sonoma County,2,"388,222","458,586","483,861","494,336",2.20%
6099,Stanislaus County,2,"370,522","446,850","514,450","550,660",7.00%
6101,Sutter County,3,"64,409","78,947","94,756","96,971",2.30%
6103,Tehama County,4,"49,625","56,060","63,440","65,084",2.60%
6105,Trinity County,8,"13,063","13,011","13,784","12,285",-10.90%
6107,Tulare County,2,"311,932","368,011","442,182","466,195",5.40%
6109,Tuolumne County,4,"48,456","54,522","55,368","54,478",-1.60%
6111,Ventura County,2,"669,016","753,230","823,398","846,006",2.70%
6113,Yolo County,1,"141,212","168,660","200,855","220,500",9.80%
6115,Yuba County,3,"58,234","60,249","72,142","78,668",9.00%
